Date,Open,High,Low,Close,Change,,,,,,Change,Helper,,https://www.spglobal.com/spdji/en/indices/equity/sp-500-communication-services-sector/#overview
3/6/2020,171.03,168.93,168.93,168.93,1.23%,,,,,,-0.0075,221,,
3/5/2020,177.62,171.06,171.06,171.06,3.69%,,,,,,0.0081,220,,
3/4/2020,171.52,177.63,177.63,177.63,-3.56%,,,,,,-0.0108,219,,
3/3/2020,177.61,171.49,171.49,171.49,3.45%,,,,,,-0.0088,218,,
3/2/2020,171.26,177.39,177.39,177.39,-3.58%,,,,,,-0.0083,217,,
2/28/2020,170.78,171.25,171.25,171.25,-0.28%,,,,,,0.0251,216,,
2/27/2020,178.07,170.87,170.87,170.87,4.04%,,,,,,0.0065,215,,
2/26/2020,178.51,178.08,178.08,178.08,0.24%,,,,,,0.005,214,,
2/25/2020,182.83,178.45,178.45,178.45,2.40%,,,,,,-0.0098,213,,
2/24/2020,189.07,182.85,182.85,182.85,3.29%,,,,,,-0.0002,212,,
2/21/2020,191.79,189.12,189.12,189.12,1.39%,,,,,,0.0125,211,,
2/20/2020,192.84,191.8,191.8,191.8,0.54%,,,,,,0.0034,210,,
2/19/2020,192.37,192.97,192.97,192.97,-0.31%,,,,,,0.0018,209,,
2/18/2020,191.49,192.26,192.26,192.26,-0.40%,,,,,,-0.0025,208,,
2/14/2020,191.31,191.5,191.5,191.5,-0.10%,,,,,,0.0237,207,,
2/13/2020,191.03,191.31,191.31,191.31,-0.15%,,,,,,-0.0023,206,,
2/12/2020,189.4,191.03,191.03,191.03,-0.86%,,,,,,-0.0212,205,,
2/11/2020,190.47,189.29,189.29,189.29,0.62%,,,,,,-0.0095,204,,
2/10/2020,188.85,190.46,190.46,190.46,-0.85%,,,,,,0.0042,203,,
2/7/2020,188.68,188.88,188.88,188.88,-0.11%,,,,,,0.0112,202,,
2/6/2020,186.56,188.68,188.68,188.68,-1.14%,,,,,,-0.0096,201,,
2/5/2020,186.81,186.55,186.55,186.55,0.14%,,,,,,-0.0004,200,,
2/4/2020,185.24,186.46,186.46,186.46,-0.66%,,,,,,0.0124,199,,
2/3/2020,182.9,185.16,185.16,185.16,-1.24%,,,,,,0.0009,198,,
1/31/2020,185.32,182.84,182.84,182.84,1.34%,,,,,,-0.0014,197,,
1/30/2020,186.3,185.19,185.19,185.19,0.60%,,,,,,0.0111,196,,
1/29/2020,187.5,186.67,186.67,186.67,0.44%,,,,,,0.0002,195,,
1/28/2020,185.29,187.48,187.48,187.48,-1.18%,,,,,,0.0177,194,,
1/27/2020,188.48,185.29,185.29,185.29,1.69%,,,,,,0.0279,193,,
1/24/2020,190.47,188.48,188.48,188.48,1.04%,,,,,,-0.0158,192,,
1/23/2020,190.85,190.47,190.47,190.47,0.20%,,,,,,-0.0012,191,,
1/22/2020,191.03,191.12,191.12,191.12,-0.05%,,,,,,-0.0044,190,,
1/21/2020,191.09,191.01,191.01,191.01,0.04%,,,,,,-0.014,189,,
1/17/2020,189.62,191.1,191.1,191.1,-0.78%,,,,,,0.0019,188,,
1/16/2020,188.37,189.4,189.4,189.4,-0.55%,,,,,,-0.0011,187,,
1/15/2020,187.52,188.15,188.15,188.15,-0.34%,,,,,,0.0028,186,,
1/14/2020,188.07,187.52,187.52,187.52,0.29%,,,,,,-0.0115,185,,
1/13/2020,186.76,188.08,188.08,188.08,-0.71%,,,,,,-0.0042,184,,
1/10/2020,187.08,186.63,186.63,186.63,0.24%,,,,,,-0.0106,183,,
1/9/2020,186.03,186.92,186.92,186.92,-0.48%,,,,,,-0.004,182,,
1/8/2020,185.17,186.44,186.44,186.44,-0.69%,,,,,,-0.0018,181,,
1/7/2020,185.2,185.17,185.17,185.17,0.02%,,,,,,-0.0062,180,,
1/6/2020,183.01,185.24,185.24,185.24,-1.22%,,,,,,-0.0041,179,,
1/3/2020,183.87,183.01,183.01,183.01,0.47%,,,,,,-0.0015,178,,
1/2/2020,181.75,184.03,184.03,184.03,-1.25%,,,,,,0.0157,177,,
12/31/2019,181.19,181.64,181.64,181.64,-0.25%,,,,,,0.0054,176,,
12/30/2019,183.16,181.28,181.28,181.28,1.03%,,,,,,-0.0042,175,,
12/27/2019,183.41,183.16,183.16,183.16,0.14%,,,,,,-0.0076,174,,
12/26/2019,182,183.42,183.42,183.42,-0.78%,,,,,,-0.0073,173,,
12/24/2019,182.18,181.94,181.94,181.94,0.13%,,,,,,-0.011,172,,
12/23/2019,182.93,182.18,182.18,182.18,0.41%,,,,,,-0.0069,171,,
12/20/2019,182.1,182.8,182.8,182.8,-0.38%,,,,,,-0.0029,170,,
12/19/2019,180.65,182.1,182.1,182.1,-0.80%,,,,,,0.0088,169,,
12/18/2019,180.19,180.67,180.67,180.67,-0.27%,,,,,,-0.0047,168,,
12/17/2019,180.12,180.14,180.14,180.14,-0.01%,,,,,,-0.0123,167,,
12/16/2019,178.27,180.12,180.12,180.12,-1.04%,,,,,,0.0009,166,,
12/13/2019,178.72,178.27,178.27,178.27,0.25%,,,,,,-0.0062,165,,
12/12/2019,178.87,178.85,178.85,178.85,0.01%,,,,,,-0.0006,164,,
12/11/2019,178.43,178.86,178.86,178.86,-0.24%,,,,,,0.0006,163,,
12/10/2019,179.01,178.32,178.32,178.32,0.39%,,,,,,0.0091,162,,
12/9/2019,179.52,178.96,178.96,178.96,0.31%,,,,,,0.0089,161,,
12/6/2019,178.41,179.48,179.48,179.48,-0.60%,,,,,,0.0129,160,,
12/5/2019,177.84,178.36,178.36,178.36,-0.29%,,,,,,-0.0015,159,,
12/4/2019,176.54,177.67,177.67,177.67,-0.64%,,,,,,-0.0025,158,,
12/3/2019,176.47,176.54,176.54,176.54,-0.04%,,,,,,-0.0083,157,,
12/2/2019,178.23,176.69,176.69,176.69,0.86%,,,,,,0.0007,156,,
11/29/2019,178.76,178.24,178.24,178.24,0.29%,,,,,,-0.0329,155,,
11/27/2019,177.77,178.89,178.89,178.89,-0.63%,,,,,,0.0047,154,,
11/26/2019,177.19,177.77,177.77,177.77,-0.33%,,,,,,0.0066,153,,
11/25/2019,176.92,177.13,177.13,177.13,-0.12%,,,,,,0.0109,152,,
11/22/2019,176.7,176.92,176.92,176.92,-0.12%,,,,,,0.0049,151,,
11/21/2019,176.24,176.69,176.69,176.69,-0.26%,,,,,,0.0079,150,,
11/20/2019,177.53,176.25,176.25,176.25,0.72%,,,,,,0.0264,149,,
11/19/2019,178.13,177.66,177.66,177.66,0.26%,,,,,,-0.0134,148,,
11/18/2019,177.62,178.12,178.12,178.12,-0.28%,,,,,,0.0026,147,,
11/15/2019,176.38,177.63,177.63,177.63,-0.71%,,,,,,-0.0222,146,,
11/14/2019,175.82,176.38,176.38,176.38,-0.32%,,,,,,0.0076,145,,
11/13/2019,175.11,175.85,175.85,175.85,-0.42%,,,,,,0.0088,144,,
11/12/2019,174.63,175.11,175.11,175.11,-0.27%,,,,,,-0.015,143,,
11/11/2019,175.28,174.59,174.59,174.59,0.39%,,,,,,0.0306,142,,
11/8/2019,174.64,175.28,175.28,175.28,-0.37%,,,,,,-0.0036,141,,
11/7/2019,173.56,174.64,174.64,174.64,-0.62%,,,,,,-0.0104,140,,
11/6/2019,173.83,173.48,173.48,173.48,0.20%,,,,,,-0.0139,139,,
11/5/2019,174.06,173.83,173.83,173.83,0.13%,,,,,,0.0099,138,,
11/4/2019,173.3,173.95,173.95,173.95,-0.38%,,,,,,-0.004,137,,
11/1/2019,171.95,173.25,173.25,173.25,-0.76%,,,,,,0.0017,136,,
10/31/2019,171.36,171.82,171.82,171.82,-0.27%,,,,,,0.0257,135,,
10/30/2019,171.02,171.36,171.36,171.36,-0.20%,,,,,,-0.0151,134,,
10/29/2019,172.65,171.03,171.03,171.03,0.94%,,,,,,0.0005,133,,
10/28/2019,170.57,172.68,172.68,172.68,-1.24%,,,,,,-0.0051,132,,
10/25/2019,169.3,170.68,170.68,170.68,-0.82%,,,,,,-0.0132,131,,
10/24/2019,170.73,169.48,169.48,169.48,0.73%,,,,,,0.0008,130,,
10/23/2019,169.65,170.73,170.73,170.73,-0.64%,,,,,,0.0101,129,,
10/22/2019,171.22,169.65,169.65,169.65,0.92%,,,,,,-0.0161,128,,
10/21/2019,170.6,171.19,171.19,171.19,-0.35%,,,,,,-0.0147,127,,
10/18/2019,171.87,170.48,170.48,170.48,0.81%,,,,,,0.0019,126,,
10/17/2019,170.91,171.98,171.98,171.98,-0.63%,,,,,,-0.0023,125,,
10/16/2019,170.59,170.89,170.89,170.89,-0.18%,,,,,,0.0002,124,,
10/15/2019,168,170.64,170.64,170.64,-1.57%,,,,,,-0.0095,123,,
10/14/2019,168.29,167.92,167.92,167.92,0.22%,,,,,,-0.0032,122,,
10/11/2019,166.8,168.26,168.26,168.26,-0.88%,,,,,,0.0005,121,,
10/10/2019,165.47,166.53,166.53,166.53,-0.64%,,,,,,0.0066,120,,
10/9/2019,164.44,165.47,165.47,165.47,-0.63%,,,,,,-0.0032,119,,
10/8/2019,166.82,164.85,164.85,164.85,1.18%,,,,,,0.0008,118,,
10/7/2019,166.98,167.05,167.05,167.05,-0.04%,,,,,,-0.0006,117,,
10/4/2019,164.75,166.98,166.98,166.98,-1.35%,,,,,,0.0046,116,,
10/3/2019,163.42,164.67,164.67,164.67,-0.76%,,,,,,0.004,115,,
10/2/2019,165.56,163.32,163.32,163.32,1.35%,,,,,,0.0141,114,,
10/1/2019,167.19,165.56,165.56,165.56,0.97%,,,,,,-0.0111,113,,
9/30/2019,166.79,167.26,167.26,167.26,-0.28%,,,,,,0.0075,112,,
9/27/2019,168.26,166.67,166.67,166.67,0.94%,,,,,,0.0094,111,,
9/26/2019,169.5,168.23,168.23,168.23,0.75%,,,,,,-0.0028,110,,
9/25/2019,167.72,169.58,169.58,169.58,-1.11%,,,,,,0.0097,109,,
9/24/2019,170.1,167.7,167.7,167.7,1.41%,,,,,,0.0135,108,,
9/23/2019,170.66,169.98,169.98,169.98,0.40%,,,,,,-0.0076,107,,
9/20/2019,171.45,170.66,170.66,170.66,0.46%,,,,,,-0.0135,106,,
9/19/2019,171.34,171.45,171.45,171.45,-0.06%,,,,,,-0.0004,105,,
9/18/2019,171.49,171.35,171.35,171.35,0.08%,,,,,,0.0118,104,,
9/17/2019,170.95,171.49,171.49,171.49,-0.32%,,,,,,-0.0063,103,,
9/16/2019,172.13,170.99,170.99,170.99,0.66%,,,,,,-0.0064,102,,
9/13/2019,172.39,172.31,172.31,172.31,0.05%,,,,,,-0.0088,101,,
9/12/2019,171.84,172.39,172.39,172.39,-0.32%,,,,,,0.0022,100,,
9/11/2019,170.15,171.76,171.76,171.76,-0.95%,,,,,,-0.0157,99,,
9/10/2019,170.19,170.15,170.15,170.15,0.02%,,,,,,-0.0018,98,,
9/9/2019,169.81,170.2,170.2,170.2,-0.23%,,,,,,-0.0063,97,,
9/6/2019,170.15,169.82,169.82,169.82,0.19%,,,,,,0.0081,96,,
9/5/2019,167.73,170.2,170.2,170.2,-1.47%,,,,,,-0.0035,95,,
9/4/2019,164.87,167.52,167.52,167.52,-1.61%,,,,,,0.0092,94,,
9/3/2019,166.56,164.87,164.87,164.87,1.01%,,,,,,-0.0064,93,,
8/30/2019,166.72,166.58,166.58,166.58,0.08%,,,,,,0.0073,92,,
8/29/2019,164.53,166.71,166.71,166.71,-1.32%,,,,,,-0.0082,91,,
8/28/2019,163.68,164.51,164.51,164.51,-0.51%,,,,,,-0.0124,90,,
8/27/2019,163.76,163.68,163.68,163.68,0.05%,,,,,,0.0094,89,,
8/26/2019,161.08,163.52,163.52,163.52,-1.51%,,,,,,-0.002,88,,
8/23/2019,165.3,161.06,161.06,161.06,2.57%,,,,,,-0.0027,87,,
8/22/2019,165.64,165.36,165.36,165.36,0.17%,,,,,,-0.0076,86,,
8/21/2019,164.98,165.64,165.64,165.64,-0.40%,,,,,,-0.0038,85,,
8/20/2019,166.64,164.99,164.99,164.99,0.99%,,,,,,0.0013,84,,
8/19/2019,164.36,166.64,166.64,166.64,-1.39%,,,,,,0.002,83,,
8/16/2019,162.66,164.35,164.35,164.35,-1.04%,,,,,,-0.0062,82,,
8/15/2019,161.86,162.44,162.44,162.44,-0.36%,,,,,,-0.0037,81,,
8/14/2019,166.78,161.67,161.67,161.67,3.06%,,,,,,0.0039,80,,
8/13/2019,164.31,166.78,166.78,166.78,-1.50%,,,,,,-0.0027,79,,
8/12/2019,165.78,164.26,164.26,164.32,0.88%,,,,,,-0.0042,78,,
8/9/2019,167.21,165.94,165.94,165.94,0.76%,,,,,,-0.0032,77,,
8/8/2019,163.65,167.28,167.28,167.28,-2.22%,,,,,,-0.0071,76,,
8/7/2019,164.06,163.64,163.64,163.64,0.26%,,,,,,-0.0028,75,,
8/6/2019,162.15,164.33,164.33,164.33,-1.34%,,,,,,0.0026,74,,
8/5/2019,166.53,162.14,162.14,162.14,2.64%,,,,,,0.0072,73,,
8/2/2019,168.34,167.01,167.01,167.01,0.79%,,,,,,-0.0026,72,,
8/1/2019,169.18,168.35,168.35,168.35,0.49%,,,,,,-0.0012,71,,
7/31/2019,171.04,169.18,169.18,169.18,1.09%,,,,,,-0.0012,70,,
7/30/2019,172.21,171.08,171.08,171.08,0.66%,,,,,,-0.0033,69,,
7/29/2019,173.05,172.23,172.23,172.23,0.47%,,,,,,-0.0063,68,,
7/26/2019,167.53,173.05,173.05,173.05,-3.29%,,,,,,0.0029,67,,
7/25/2019,167.72,167.61,167.61,167.61,0.07%,,,,,,0.0086,66,,
7/24/2019,166.36,167.74,167.74,167.74,-0.83%,,,,,,-0.0004,65,,
7/23/2019,165.86,166.27,166.27,166.27,-0.25%,,,,,,-0.0064,64,,
7/22/2019,165.52,165.77,165.77,165.77,-0.15%,,,,,,-0.0029,63,,
7/19/2019,167.68,165.51,165.51,165.51,1.29%,,,,,,-0.006,62,,
7/18/2019,169.22,167.72,167.72,167.72,0.89%,,,,,,0.0031,61,,
7/17/2019,170.77,169.22,169.22,169.22,0.91%,,,,,,0.0039,60,,
7/16/2019,170.84,170.73,170.73,170.73,0.06%,,,,,,-0.0024,59,,
7/15/2019,170.73,170.84,170.84,170.84,-0.06%,,,,,,0.0001,58,,
7/12/2019,169.68,170.73,170.73,170.73,-0.62%,,,,,,0.0025,57,,
7/11/2019,169.81,169.66,169.66,169.66,0.09%,,,,,,-0.0104,56,,
7/10/2019,167.75,169.81,169.81,169.81,-1.23%,,,,,,-0.0001,55,,
7/9/2019,166.9,167.69,167.69,167.69,-0.47%,,,,,,-0.0027,54,,
7/8/2019,168.71,167.22,167.22,167.22,0.88%,,,,,,-0.008,53,,
7/5/2019,168.25,168.73,168.73,168.73,-0.29%,,,,,,-0.0038,52,,
7/3/2019,167.25,168.41,168.41,168.41,-0.69%,,,,,,0.0041,51,,
7/2/2019,165.4,167.22,167.22,167.22,-1.10%,,,,,,0.0013,50,,
7/1/2019,164.26,165.46,165.46,165.46,-0.73%,,,,,,-0.0078,49,,
6/28/2019,162.99,164.23,164.23,164.23,-0.76%,,,,,,0.0014,48,,
6/27/2019,162.28,162.96,162.96,162.96,-0.42%,,,,,,0.0103,47,,
6/26/2019,163.14,162.26,162.26,162.26,0.54%,,,,,,-0.0025,46,,
6/25/2019,165.7,163.1,163.1,163.1,1.57%,,,,,,-0.0125,45,,
6/24/2019,165.5,165.75,165.75,165.75,-0.15%,,,,,,0.0047,44,,
6/21/2019,164.9,165.57,165.57,165.57,-0.41%,,,,,,-0.0122,43,,
6/20/2019,163.9,164.91,164.91,164.91,-0.62%,,,,,,0.0002,42,,
6/19/2019,163.58,163.87,163.87,163.87,-0.18%,,,,,,-0.0069,41,,
6/18/2019,162.92,163.57,163.57,163.57,-0.40%,,,,,,-0.0048,40,,
6/17/2019,161.19,162.9,162.9,162.9,-1.06%,,,,,,0.0024,39,,
6/14/2019,160.52,161.19,161.19,161.19,-0.42%,,,,,,-0.0071,38,,
6/13/2019,158.75,160.57,160.57,160.57,-1.15%,,,,,,0.0029,37,,
6/12/2019,159.21,158.76,158.76,158.76,0.28%,,,,,,-0.0034,36,,
6/11/2019,159.03,159.21,159.21,159.21,-0.11%,,,,,,-0.0055,35,,
6/10/2019,159.06,158.75,158.75,158.75,0.19%,,,,,,-0.0078,34,,
6/7/2019,156.79,158.98,158.98,158.98,-1.40%,,,,,,0.0004,33,,
6/6/2019,155.99,156.67,156.67,156.67,-0.44%,,,,,,-0.0005,32,,
6/5/2019,155.8,155.99,155.99,155.99,-0.12%,,,,,,0.002,31,,
6/4/2019,153.37,155.8,155.8,155.8,-1.58%,,,,,,0.0104,30,,
6/3/2019,157.52,153.13,153.13,153.13,2.79%,,,,,,0.0169,29,,
5/31/2019,160.36,157.52,157.52,157.52,1.77%,,,,,,-0.0118,28,,
5/30/2019,160.85,160.81,160.81,160.81,0.02%,,,,,,0.0044,27,,
5/29/2019,162.65,160.85,160.85,160.85,1.11%,,,,,,0.006,26,,
5/28/2019,162.43,162.65,162.65,162.65,-0.14%,,,,,,0.0134,25,,
5/24/2019,162.52,162.38,162.38,162.38,0.09%,,,,,,-0.0124,24,,
5/23/2019,164.41,162.37,162.37,162.37,1.24%,,,,,,-0.0066,23,,
5/22/2019,164.37,164.44,164.44,164.44,-0.04%,,,,,,0.0014,22,,
5/21/2019,162.83,164.39,164.39,164.39,-0.96%,,,,,,-0.0114,21,,
5/20/2019,164.67,162.83,162.83,162.83,1.12%,,,,,,-0.0011,20,,
5/17/2019,165.46,164.76,164.76,164.76,0.42%,,,,,,-0.0085,19,,
5/16/2019,163.99,165.55,165.55,165.55,-0.95%,,,,,,0.0062,18,,
5/15/2019,160.57,163.97,163.97,163.97,-2.12%,,,,,,-0.0086,17,,
5/14/2019,160.21,160.58,160.58,160.58,-0.23%,,,,,,-0.0015,16,,
5/13/2019,164.08,160.19,160.19,160.19,2.37%,,,,,,-0.001,15,,
5/10/2019,163.92,164.33,164.33,164.33,-0.25%,,,,,,-0.004,14,,
5/9/2019,164.28,163.98,163.98,163.98,0.18%,,,,,,-0.0031,13,,
5/8/2019,164.84,164.28,164.28,164.28,0.34%,,,,,,0.0054,12,,
5/7/2019,166.95,164.87,164.87,164.87,1.25%,,,,,,0.0139,11,,
5/6/2019,167.1,167.14,167.14,167.14,-0.02%,,,,,,0.0329,10,,
5/3/2019,165.82,167.45,167.45,167.45,-0.98%,,,,,,0.024,9,,
5/2/2019,166.37,165.53,165.53,165.53,0.50%,,,,,,0.0024,8,,
5/1/2019,167.46,166.37,166.37,166.37,0.65%,,,,,,0.0404,7,,
4/30/2019,171.8,167.49,167.49,167.49,2.51%,,,,,,-0.0028,6,,
4/29/2019,170.47,171.89,171.89,171.89,-0.83%,,,,,,-0.0358,5,,
4/26/2019,168.95,170.44,170.44,170.44,-0.88%,,,,,,0.0345,4,,
4/25/2019,167.34,169.15,169.15,169.15,-1.08%,,,,,,-0.0356,3,,
4/24/2019,168.71,167.34,167.34,167.34,0.81%,,,,,,0.0369,2,,
4/23/2019,167.34,168.6,168.6,168.6,-0.75%,,,,,,0.0123,1,,
4/22/2019,,,,167.17,,,,,,,,,,
