Date,Price,Open,High,Low,Vol.,Change %,,,,Date,Price,Change %,Fake Time ,,Helper 
5/28/2020,"3,029.73","3,046.61","3,068.67","3,023.40",,-0.21%,,,,4/23/2019,"2,933.68",0.88%,222,,315
5/27/2020,"3,036.13","3,015.65","3,036.25","2,969.75",,1.48%,,,,4/24/2019,"2,927.25",-0.22%,223,,314
5/26/2020,"2,991.77","3,004.08","3,021.72","2,988.17",,1.23%,,,,4/25/2019,"2,926.17",-0.04%,224,,313
5/22/2020,"2,955.45","2,948.05","2,956.76","2,933.59",,0.24%,,,,4/26/2019,"2,939.88",0.47%,225,,312
5/21/2020,"2,948.51","2,969.95","2,978.50","2,938.57",,-0.78%,,,,4/29/2019,"2,943.03",0.11%,226,,311
5/20/2020,"2,971.61","2,953.63","2,980.29","2,953.63",,1.67%,,,,4/30/2019,"2,945.83",0.10%,227,,310
5/19/2020,"2,922.94","2,948.59","2,964.21","2,922.35",,-1.05%,,,,5/1/2019,"2,923.73",-0.75%,228,,309
5/18/2020,"2,953.91","2,913.86","2,968.09","2,913.86",,3.15%,,,,5/2/2019,"2,917.52",-0.21%,229,,308
5/15/2020,"2,863.70","2,829.95","2,865.01","2,816.78",,0.39%,,,,5/3/2019,"2,945.64",0.96%,230,,307
5/14/2020,"2,852.50","2,794.54","2,852.80","2,766.64",,1.15%,,,,5/6/2019,"2,932.47",-0.45%,231,,306
5/13/2020,"2,820.00","2,865.86","2,874.14","2,793.15",,-1.75%,,,,5/7/2019,"2,884.05",-1.65%,232,,305
5/12/2020,"2,870.12","2,939.50","2,945.82","2,869.59",,-2.05%,,,,5/8/2019,"2,879.42",-0.16%,233,,304
5/11/2020,"2,930.32","2,915.46","2,944.25","2,903.44",,0.02%,,,,5/9/2019,"2,870.72",-0.30%,234,,303
5/8/2020,"2,929.80","2,908.83","2,932.16","2,902.88",,1.69%,,,,5/10/2019,"2,881.40",0.37%,235,,302
5/7/2020,"2,881.19","2,878.26","2,901.92","2,876.48",,1.15%,,,,5/13/2019,"2,811.87",-2.41%,236,,301
5/6/2020,"2,848.42","2,883.14","2,891.11","2,847.65",,-0.70%,,,,5/14/2019,"2,834.41",0.80%,237,,300
5/5/2020,"2,868.44","2,868.88","2,898.23","2,863.55",,0.90%,,,,5/15/2019,"2,850.96",0.58%,238,,299
5/4/2020,"2,842.74","2,815.01","2,844.24","2,797.85",,0.42%,,,,5/16/2019,"2,876.32",0.89%,239,,298
5/1/2020,"2,830.71","2,869.09","2,869.09","2,821.61",,-2.81%,,,,5/17/2019,"2,859.53",-0.58%,240,,297
4/30/2020,"2,912.43","2,930.91","2,930.91","2,892.47",,-0.92%,,,,5/20/2019,"2,840.23",-0.67%,241,,296
4/29/2020,"2,939.51","2,918.46","2,954.86","2,912.16",,2.66%,,,,5/21/2019,"2,864.36",0.85%,242,,295
4/28/2020,"2,863.39","2,909.96","2,921.15","2,860.71",,-0.52%,,,,5/22/2019,"2,856.27",-0.28%,243,,294
4/27/2020,"2,878.48","2,854.65","2,887.72","2,852.89",,1.47%,,,,5/23/2019,"2,822.24",-1.19%,244,,293
4/24/2020,"2,836.74","2,812.64","2,842.71","2,791.76",,1.39%,,,,5/24/2019,"2,826.06",0.14%,245,,292
4/23/2020,"2,797.80","2,810.42","2,844.90","2,794.26",,-0.05%,,,,5/28/2019,"2,802.39",-0.84%,246,,291
4/22/2020,"2,799.31","2,787.89","2,815.10","2,775.95",,2.29%,,,,5/29/2019,"2,783.02",-0.69%,247,,290
4/21/2020,"2,736.56","2,784.81","2,785.54","2,727.10",,-3.07%,,,,5/30/2019,"2,788.86",0.21%,248,,289
4/20/2020,"2,823.16","2,845.62","2,868.98","2,820.43",,-1.79%,,,,5/31/2019,"2,752.06",-1.32%,249,,288
4/17/2020,"2,874.56","2,842.43","2,879.22","2,830.88",,2.68%,,,,6/3/2019,"2,744.45",-0.28%,250,,287
4/16/2020,"2,799.55","2,799.34","2,806.51","2,764.32",,0.58%,,,,6/4/2019,"2,803.27",2.14%,251,,286
4/15/2020,"2,783.36","2,795.64","2,801.88","2,761.54",,-2.20%,,,,6/5/2019,"2,826.15",0.82%,252,,285
4/14/2020,"2,846.06","2,805.10","2,851.85","2,805.10",,3.06%,,,,6/6/2019,"2,843.49",0.61%,253,,284
4/13/2020,"2,761.63","2,782.46","2,782.46","2,721.17",,-1.01%,,,,6/7/2019,"2,873.34",1.05%,254,,283
4/9/2020,"2,789.82","2,776.99","2,818.57","2,762.36",,1.45%,,,,6/10/2019,"2,886.73",0.47%,255,,282
4/8/2020,"2,749.98","2,685.00","2,760.75","2,663.30",,3.41%,,,,6/11/2019,"2,885.72",-0.03%,256,,281
4/7/2020,"2,659.41","2,738.65","2,756.89","2,657.67",,-0.16%,,,,6/12/2019,"2,879.84",-0.20%,257,,280
4/6/2020,"2,663.68","2,578.28","2,676.85","2,574.57",,7.03%,,,,6/13/2019,"2,891.64",0.41%,258,,279
4/3/2020,"2,488.65","2,514.92","2,538.18","2,459.96",,-1.51%,,,,6/14/2019,"2,886.98",-0.16%,259,,278
4/2/2020,"2,526.90","2,458.54","2,533.22","2,455.79",,2.28%,,,,6/17/2019,"2,889.67",0.09%,260,,277
4/1/2020,"2,470.50","2,498.08","2,522.75","2,447.49",,-4.41%,,,,6/18/2019,"2,917.75",0.97%,261,,276
3/31/2020,"2,584.59","2,614.69","2,641.39","2,571.15",,-1.60%,,,,6/19/2019,"2,926.46",0.30%,262,,275
3/30/2020,"2,626.65","2,558.98","2,631.80","2,545.28",,3.35%,,,,6/20/2019,"2,954.18",0.95%,263,,274
3/27/2020,"2,541.47","2,555.87","2,615.91","2,520.02",,-3.37%,,,,6/21/2019,"2,950.46",-0.13%,264,,273
3/26/2020,"2,630.07","2,501.29","2,637.01","2,500.72",,6.24%,,,,6/24/2019,"2,945.35",-0.17%,265,,272
3/25/2020,"2,475.56","2,457.77","2,571.42","2,407.53",,1.15%,,,,6/25/2019,"2,917.38",-0.95%,266,,271
3/24/2020,"2,447.33","2,344.44","2,449.71","2,344.44",,9.38%,,,,6/26/2019,"2,913.78",-0.12%,267,,270
3/23/2020,"2,237.40","2,290.71","2,300.73","2,191.86",,-2.93%,,,,6/27/2019,"2,924.92",0.38%,268,,269
3/20/2020,"2,304.92","2,431.94","2,453.01","2,295.56",,-4.34%,,,,6/28/2019,"2,941.76",0.58%,269,,268
3/19/2020,"2,409.39","2,393.48","2,466.97","2,319.78",,0.47%,,,,7/1/2019,"2,964.33",0.77%,270,,267
3/18/2020,"2,398.10","2,436.50","2,453.57","2,280.52",,-5.18%,,,,7/2/2019,"2,973.01",0.29%,271,,266
3/17/2020,"2,529.19","2,425.66","2,553.93","2,367.04",,6.00%,,,,7/3/2019,"2,995.82",0.77%,272,,265
3/16/2020,"2,386.13","2,508.59","2,562.98","2,380.94",,-11.98%,,,,7/5/2019,"2,990.41",-0.18%,273,,264
3/13/2020,"2,711.02","2,569.99","2,711.33","2,492.37",,9.29%,,,,7/8/2019,"2,975.95",-0.48%,274,,263
3/12/2020,"2,480.64","2,630.86","2,660.95","2,478.86",,-9.51%,,,,7/9/2019,"2,979.63",0.12%,275,,262
3/11/2020,"2,741.38","2,825.60","2,825.60","2,707.22",,-4.89%,,,,7/10/2019,"2,993.07",0.45%,276,,261
3/10/2020,"2,882.23","2,813.48","2,882.59","2,734.00",,4.94%,,,,7/11/2019,"2,999.91",0.23%,277,,260
3/9/2020,"2,746.56","2,863.89","2,863.89","2,734.43",,-7.60%,,,,7/12/2019,"3,013.77",0.46%,278,,259
3/6/2020,"2,972.37","2,954.20","2,985.93","2,901.54",,-1.71%,,,,7/15/2019,"3,014.30",0.02%,279,,258
3/5/2020,"3,023.94","3,075.70","3,083.04","2,999.83",,-3.39%,,,,7/16/2019,"3,004.04",-0.34%,280,,257
3/4/2020,"3,130.12","3,045.75","3,130.97","3,034.38",,4.22%,,,,7/17/2019,"2,984.42",-0.65%,281,,256
3/3/2020,"3,003.37","3,096.46","3,136.72","2,976.63",,-2.81%,,,,7/18/2019,"2,995.11",0.36%,282,,255
3/2/2020,"3,090.23","2,974.28","3,090.96","2,945.19",,4.60%,,,,7/19/2019,"2,976.61",-0.62%,283,,254
2/28/2020,"2,954.22","2,916.90","2,959.72","2,855.84",,-0.82%,,,,7/22/2019,"2,985.03",0.28%,284,,253
2/27/2020,"2,978.76","3,062.54","3,097.07","2,977.39",,-4.42%,,,,7/23/2019,"3,005.47",0.68%,285,,252
2/26/2020,"3,116.39","3,139.90","3,182.51","3,108.99",,-0.38%,,,,7/24/2019,"3,019.56",0.47%,286,,251
2/25/2020,"3,128.21","3,238.94","3,246.99","3,118.77",,-3.03%,,,,7/25/2019,"3,003.67",-0.53%,287,,250
2/24/2020,"3,225.89","3,257.61","3,259.81","3,214.65",,-3.35%,,,,7/26/2019,"3,025.86",0.74%,288,,249
2/21/2020,"3,337.75","3,360.50","3,360.76","3,328.45",,-1.05%,,,,7/29/2019,"3,020.97",-0.16%,289,,248
2/20/2020,"3,373.23","3,380.45","3,389.15","3,341.02",,-0.38%,,,,7/30/2019,"3,013.18",-0.26%,290,,247
2/19/2020,"3,386.15","3,380.39","3,393.52","3,378.83",,0.47%,,,,7/31/2019,"2,980.38",-1.09%,291,,246
2/18/2020,"3,370.29","3,369.04","3,375.01","3,355.61",,-0.29%,,,,8/1/2019,"2,953.56",-0.90%,292,,245
2/14/2020,"3,380.16","3,378.08","3,380.69","3,366.15",,0.18%,,,,8/2/2019,"2,932.05",-0.73%,293,,244
2/13/2020,"3,373.94","3,365.90","3,385.09","3,360.52",,-0.16%,,,,8/5/2019,"2,844.74",-2.98%,294,,243
2/12/2020,"3,379.45","3,370.50","3,381.47","3,369.72",,0.65%,,,,8/6/2019,"2,881.77",1.30%,295,,242
2/11/2020,"3,357.75","3,365.87","3,375.63","3,352.72",,0.17%,,,,8/7/2019,"2,883.98",0.08%,296,,241
2/10/2020,"3,352.09","3,318.28","3,352.26","3,317.77",,0.73%,,,,8/8/2019,"2,938.09",1.88%,297,,240
2/7/2020,"3,327.71","3,335.54","3,341.42","3,322.12",,-0.54%,,,,8/9/2019,"2,918.65",-0.66%,298,,239
2/6/2020,"3,345.78","3,344.92","3,347.96","3,334.39",,0.33%,,,,8/12/2019,"2,883.75",-1.20%,299,,238
2/5/2020,"3,334.69","3,324.91","3,337.58","3,313.75",,1.13%,,,,8/13/2019,"2,926.32",1.48%,300,,237
2/4/2020,"3,297.59","3,280.61","3,306.92","3,280.61",,1.50%,,,,8/14/2019,"2,840.60",-2.93%,301,,236
2/3/2020,"3,248.92","3,235.66","3,268.44","3,235.66",,0.73%,,,,8/15/2019,"2,847.60",0.25%,302,,235
1/31/2020,"3,225.52","3,282.33","3,282.33","3,214.68",,-1.77%,,,,8/16/2019,"2,888.68",1.44%,303,,234
1/30/2020,"3,283.66","3,256.45","3,285.91","3,242.80",,0.31%,,,,8/19/2019,"2,923.65",1.21%,304,,233
1/29/2020,"3,273.40","3,289.46","3,293.47","3,271.89",,-0.09%,,,,8/20/2019,"2,900.51",-0.79%,305,,232
1/28/2020,"3,276.24","3,255.35","3,285.78","3,253.22",,1.01%,,,,8/21/2019,"2,924.43",0.82%,306,,231
1/27/2020,"3,243.63","3,247.16","3,258.85","3,234.50",,-1.57%,,,,8/22/2019,"2,922.95",-0.05%,307,,230
1/24/2020,"3,295.47","3,333.10","3,333.18","3,281.53",,-0.90%,,,,8/23/2019,"2,847.11",-2.59%,308,,229
1/23/2020,"3,325.54","3,315.77","3,326.88","3,301.87",,0.11%,,,,8/26/2019,"2,878.38",1.10%,309,,228
1/22/2020,"3,321.75","3,330.02","3,337.77","3,320.04",,0.03%,,,,8/27/2019,"2,869.16",-0.32%,310,,227
1/21/2020,"3,320.79","3,321.03","3,329.79","3,316.61",,-0.27%,,,,8/28/2019,"2,887.94",0.65%,311,,226
1/17/2020,"3,329.62","3,323.66","3,329.88","3,318.86",,0.39%,,,,8/29/2019,"2,924.58",1.27%,312,,225
1/16/2020,"3,316.81","3,302.97","3,317.11","3,302.82",,0.84%,,,,8/30/2019,"2,926.46",0.06%,313,,224
1/15/2020,"3,289.29","3,282.27","3,298.66","3,280.69",,0.19%,,,,9/3/2019,"2,906.27",-0.69%,314,,223
1/14/2020,"3,283.15","3,285.35","3,294.25","3,277.19",,-0.15%,,,,9/4/2019,"2,937.78",1.08%,315,,222
1/13/2020,"3,288.13","3,271.13","3,288.13","3,268.43",,0.70%,,,,9/5/2019,"2,976.00",1.30%,316,,221
1/10/2020,"3,265.35","3,281.81","3,282.99","3,260.86",,-0.29%,,,,9/6/2019,"2,978.71",0.09%,317,,220
1/9/2020,"3,274.70","3,266.03","3,275.58","3,263.67",,0.67%,,,,9/9/2019,"2,978.43",-0.01%,318,,219
1/8/2020,"3,253.05","3,238.59","3,267.07","3,236.67",,0.49%,,,,9/10/2019,"2,979.39",0.03%,319,,218
1/7/2020,"3,237.18","3,241.86","3,244.91","3,232.43",,-0.28%,,,,9/11/2019,"3,000.93",0.72%,320,,217
1/6/2020,"3,246.28","3,217.55","3,246.84","3,214.64",,0.35%,,,,9/12/2019,"3,009.57",0.29%,321,,216
1/3/2020,"3,234.85","3,226.36","3,246.15","3,222.34",,-0.71%,,,,9/13/2019,"3,007.39",-0.07%,322,,215
1/2/2020,"3,257.85","3,244.67","3,258.14","3,235.53",,0.84%,,,,9/16/2019,"2,997.96",-0.31%,323,,214
12/31/2019,"3,230.78","3,215.18","3,231.72","3,212.03",,0.29%,,,,9/17/2019,"3,005.70",0.26%,324,,213
12/30/2019,"3,221.29","3,240.09","3,240.92","3,216.57",,-0.58%,,,,9/18/2019,"3,006.73",0.03%,325,,212
12/27/2019,"3,240.02","3,247.23","3,247.93","3,234.37",,0.00%,,,,9/19/2019,"3,006.79",0.00%,326,,211
12/26/2019,"3,239.91","3,227.20","3,240.08","3,227.20",,0.51%,,,,9/20/2019,"2,992.07",-0.49%,327,,210
12/24/2019,"3,223.38","3,225.45","3,226.43","3,220.51",,-0.02%,,,,9/23/2019,"2,991.78",-0.01%,328,,209
12/23/2019,"3,224.01","3,226.05","3,227.78","3,222.30",,0.09%,,,,9/24/2019,"2,966.60",-0.84%,329,,208
12/20/2019,"3,221.22","3,223.33","3,225.65","3,216.03",,0.49%,,,,9/25/2019,"2,984.87",0.62%,330,,207
12/19/2019,"3,205.37","3,192.32","3,205.48","3,192.32",,0.45%,,,,9/26/2019,"2,977.62",-0.24%,331,,206
12/18/2019,"3,191.14","3,195.21","3,198.48","3,191.14",,-0.04%,,,,9/27/2019,"2,961.79",-0.53%,332,,205
12/17/2019,"3,192.52","3,195.40","3,198.22","3,191.03",,0.03%,,,,9/30/2019,"2,976.74",0.50%,333,,204
12/16/2019,"3,191.45","3,183.63","3,197.71","3,183.63",,0.71%,,,,10/1/2019,"2,940.25",-1.23%,334,,203
12/13/2019,"3,168.80","3,166.65","3,182.68","3,156.51",,0.01%,,,,10/2/2019,"2,887.61",-1.79%,335,,202
12/12/2019,"3,168.57","3,141.23","3,176.28","3,138.47",,0.86%,,,,10/3/2019,"2,910.63",0.80%,336,,201
12/11/2019,"3,141.63","3,135.75","3,143.98","3,133.21",,0.29%,,,,10/4/2019,"2,952.01",1.42%,337,,200
12/10/2019,"3,132.52","3,135.36","3,142.12","3,126.09",,-0.11%,,,,10/7/2019,"2,938.79",-0.45%,338,,199
12/9/2019,"3,135.96","3,141.86","3,148.87","3,135.46",,-0.32%,,,,10/8/2019,"2,893.06",-1.56%,339,,198
12/6/2019,"3,145.91","3,134.62","3,150.60","3,134.62",,0.91%,,,,10/9/2019,"2,919.40",0.91%,340,,197
12/5/2019,"3,117.43","3,119.21","3,119.45","3,103.76",,0.15%,,,,10/10/2019,"2,938.13",0.64%,341,,196
12/4/2019,"3,112.76","3,103.50","3,119.38","3,102.53",,0.63%,,,,10/11/2019,"2,970.27",1.09%,342,,195
12/3/2019,"3,093.20","3,087.41","3,094.97","3,070.33",,-0.66%,,,,10/14/2019,"2,966.15",-0.14%,343,,194
12/2/2019,"3,113.87","3,143.85","3,144.31","3,110.78",,-0.86%,,,,10/15/2019,"2,995.68",1.00%,344,,193
11/29/2019,"3,140.98","3,147.18","3,150.30","3,139.34",,-0.40%,,,,10/16/2019,"2,989.69",-0.20%,345,,192
11/27/2019,"3,153.63","3,145.49","3,154.26","3,143.41",,0.42%,,,,10/17/2019,"2,997.95",0.28%,346,,191
11/26/2019,"3,140.52","3,134.85","3,142.69","3,131.00",,0.22%,,,,10/18/2019,"2,986.20",-0.39%,347,,190
11/25/2019,"3,133.64","3,117.44","3,133.83","3,117.44",,0.75%,,,,10/21/2019,"3,006.72",0.69%,348,,189
11/22/2019,"3,110.29","3,111.41","3,112.87","3,099.26",,0.22%,,,,10/22/2019,"2,995.99",-0.36%,349,,188
11/21/2019,"3,103.54","3,108.49","3,110.11","3,094.55",,-0.16%,,,,10/23/2019,"3,004.52",0.28%,350,,187
11/20/2019,"3,108.46","3,114.66","3,118.97","3,091.41",,-0.38%,,,,10/24/2019,"3,010.29",0.19%,351,,186
11/19/2019,"3,120.18","3,127.45","3,127.64","3,113.47",,-0.06%,,,,10/25/2019,"3,022.55",0.41%,352,,185
11/18/2019,"3,122.03","3,117.91","3,124.17","3,112.06",,0.05%,,,,10/28/2019,"3,039.42",0.56%,353,,184
11/15/2019,"3,120.46","3,107.92","3,120.46","3,104.60",,0.77%,,,,10/29/2019,"3,036.89",-0.08%,354,,183
11/14/2019,"3,096.63","3,090.75","3,098.20","3,083.26",,0.08%,,,,10/30/2019,"3,046.77",0.33%,355,,182
11/13/2019,"3,094.04","3,084.18","3,098.06","3,078.80",,0.07%,,,,10/31/2019,"3,037.56",-0.30%,356,,181
11/12/2019,"3,091.84","3,089.28","3,102.61","3,084.73",,0.16%,,,,11/1/2019,"3,066.91",0.97%,357,,180
11/11/2019,"3,087.01","3,080.33","3,088.33","3,075.82",,-0.20%,,,,11/4/2019,"3,078.27",0.37%,358,,179
11/8/2019,"3,093.08","3,081.25","3,093.09","3,073.58",,0.26%,,,,11/5/2019,"3,074.62",-0.12%,359,,178
11/7/2019,"3,085.18","3,087.02","3,097.77","3,080.23",,0.27%,,,,11/6/2019,"3,076.78",0.07%,360,,177
11/6/2019,"3,076.78","3,075.10","3,078.34","3,065.89",,0.07%,,,,11/7/2019,"3,085.18",0.27%,361,,176
11/5/2019,"3,074.62","3,080.80","3,083.95","3,072.15",,-0.12%,,,,11/8/2019,"3,093.08",0.26%,362,,175
11/4/2019,"3,078.27","3,078.96","3,085.20","3,074.87",,0.37%,,,,11/11/2019,"3,087.01",-0.20%,363,,174
11/1/2019,"3,066.91","3,050.72","3,066.95","3,050.72",,0.97%,,,,11/12/2019,"3,091.84",0.16%,364,,173
